uid,year
33772,1978
407675,1977
413216,1977
489960,1979
743766,1978
906078,1977
1124969,1975
1243735,1975
1245842,1976
1659238,1991
2559514,1989
2600591,1989
2841406,1988
3028713,1987
3031959,1986
4378566,1965
4403105,1972
4546521,1973
4799154,1973
4946541,1971
4976739,1969
5002906,1971
5313066,1970
6206738,1984
6268925,1981
6274526,1981
6275577,1981
6304948,1982
6306872,1983
6309104,1983
6314612,1983
6809352,1982
7406113,1980
7520190,1994
8067992,1994
8099299,1993
8758061,1996
9005840,1996
9045499,1996
9513297,1998
9738478,1998
10099030,1999
10436653,1998
11463123,2001
11681215,2001
12685070,2003
12995440,1952
12995441,1952
13077401,1953
13077697,1953
13157159,1954
13281796,1955
13337908,1956
13380987,1956
13556872,1958
14175744,1964
14230895,1964
17195954,2007
18674965,2008
18680646,2008
18771865,2008
19073551,2008
19073572,2008
19516034,2009
19725383,2009
19762169,2010
19788800,2009
21529401,2011
22305269,2012
22389730,2012
22825831,2012
22923343,2012
22953014,2012
23057269,2010
23878182,2013
23936579,2013
24148652,2013
24421913,2014
24507466,2014
24507467,2014
24516683,2014
24605459,2014
24626205,2014
24721538,2014
24739982,2014
24813217,2014
24856001,2014
24903869,2014
24909208,2014
24917859,2014
24944843,2014
24983096,2014
25001879,2014
25062427,2014
25255027,2014
25294619,2014
25299181,2014
25310102,2014
25341051,2014
25345518,2014
25404071,2015
25514122,2014
25530324,2015
25539751,2014
25559142,2015
25600600,2015
25625687,2015
25625872,2015
25706914,2015
25722614,2015
25811410,2015
25898277,2015
25996909,2015
26061233,2015
26071336,2015
26084316,2015
26085147,2015
26101272,2015
26113729,2015
26142684,2015
26194519,2015
26257029,2016
26283013,2016
26390164,2015
26401719,2015
26403318,2015
26482390,2015
26521519,2015
26527535,2015
26552108,2015
26581402,2016
26584464,2015
26601449,2015
26611910,2016
26615388,2016
26627575,2016
26674809,2016
26674815,2016
26684466,2016
26689277,2016
26696621,2016
26698165,2015
26702627,2016
26706817,2016
26710538,2015
26731034,2016
26748604,2016
26754201,2016
26761185,2016
26762624,2016
26774330,2016
26774331,2016
26774684,2016
26775124,2016
26775125,2016
26777915,2016
26778293,2016
26782128,2016
26783242,2016
26792410,2015
26794427,2016
26796813,2016
26796917,2016
26799213,2016
26812929,2016
26813766,2016
26818622,2016
26820163,2016
26820244,2016
26820387,2016
26821709,2016
26824625,2016
26825803,2016
26829957,2016
26830024,2016
26832396,2016
26837723,2016
26839177,2016
26839247,2016
26839785,2014
26840156,2016
26840174,2016
26841979,2016
26842018,2016
26842033,2016
26842604,2016
26848011,2016
26848089,2016
26849748,2015
26849762,2015
26849896,2016
26850984,2016
26852261,2016
26852727,2016
26854199,2016
26856329,2016
26856896,2016
26858259,2016
26858352,2016
26859285,2016
26860137,2016
26860150,2016
26862812,2016
26862926,2016
26863963,2016
26864175,2016
26864344,2016
26864962,2016
26865476,2016
26865554,2016
26866485,2016
26866840,2016
26868414,2016
26868672,2016
26872416,2016
26876061,2016
26876373,2016
26879565,2016
26879566,2016
26880123,2016
26884455,2016
26888897,2016
26889662,2016
26890059,2016
26890470,2016
26892436,2016
26893150,2016
26893468,2016
26895850,2016
26896047,2016
26897106,2016
26897108,2016
26897760,2016
26898198,2016
26898855,2016
26901275,2016
26902867,2016
26903031,2016
26903610,2016
26905027,2016
26906627,2016
26906886,2015
26907929,2016
26908259,2016
26911164,2016
26911655,2016
26911940,2016
26912676,2016
26913304,2016
26914330,2016
26914500,2016
26914596,2016
26914692,2016
26914810,2016
26915933,2016
26917636,2016
26917790,2016
26918506,2016
26918507,2016
26919943,2016
26920038,2016
26921165,2016
26921241,2016
26921737,2016
26921913,2016
26922438,2016
26922439,2016
26923081,2016
26923098,2016
26923117,2016
26925496,2016
26927301,2016
26927449,2016
26927450,2016
26927699,2016
26931360,2016
26932263,2016
26932976,2016
26934531,2016
26935676,2016
26937612,2016
26937739,2016
26938703,2016
26938868,2016
26939047,2016
26939607,2016
26939897,2016
26940218,2016
26940504,2016
26940642,2016
26941134,2016
26942903,2016
26943629,2016
26943916,2016
26944027,2016
26944028,2016
26944581,2016
26945482,2016
26945753,2016
26946926,2016
26947167,2016
26947168,2016
26947169,2016
26947268,2016
26948207,2016
26948432,2016
26948433,2016
26949027,2016
26950736,2015
26951454,2016
26951804,2016
26952389,2016
26952548,2016
26952646,2016
26952701,2016
26952870,2016
26953673,2016
26955231,2016
26956448,2016
26957316,2016
26958738,2016
26958936,2016
26959248,2016
26959253,2016
26959258,2016
26959259,2016
26959260,2016
26959308,2016
26960050,2016
26960051,2016
26960598,2016
26960750,2016
26961015,2016
26961437,2016
26961637,2016
26961646,2016
26961650,2016
26962217,2016
26962237,2016
26963535,2016
26963564,2016
26963593,2016
26964604,2016
26965035,2016
26965108,2016
26965596,2016
26965888,2016
26965962,2016
26966326,2016
26967758,2016
26969497,2016
26969782,2016
26969966,2016
26970698,2017
26972490,2016
26973301,2016
26975308,2016
26976611,2016
26978530,2016
26978815,2016
26979935,2016
26980239,2016
26980631,2016
26981761,2016
26985518,2016
26985587,2016
26985845,2016
26985965,2016
26986702,2016
26987769,2016
26988027,2016
26988170,2016
26988337,2016
26988905,2016
26991057,2016
26991663,2016
26993028,2016
26993436,2016
26993654,2016
26993880,2016
26993883,2016
26994075,2016
26994509,2016
26994814,2016
26996139,2016
26997578,2016
26998633,2016
27000001,2016
27000068,2016
27000244,2016
27001187,2016
27001741,2016
27004142,2016
27004695,2016
27005012,2016
27005530,2016
27005721,2015
27006779,2016
27007567,2016
27008481,2016
27009036,2016
27010422,2016
27011140,2016
27012221,2016
27012725,2016
27013108,2016
27013110,2016
27013429,2016
27013839,2016
27015222,2016
27015734,2016
27016009,2016
27016775,2016
27016785,2016
27019049,2016
27020989,2016
27021935,2016
27022155,2016
27023395,2016
27023833,2016
27025322,2016
27028271,2016
27028561,2016
27028667,2016
27028782,2016
27029595,2016
27029817,2016
27029869,2016
27029872,2016
27029927,2016
27031450,2016
27031608,2016
27031817,2016
27031943,2016
27032078,2016
27032431,2016
27032458,2016
27032485,2016
27032927,2016
27033547,2016
27036749,2016
27037098,2016
27038091,2017
27038591,2016
27039447,2016
27039875,2016
27040593,2016
27040615,2017
27041640,2017
27044278,2016
27045056,2016
27045503,2016
27046524,2016
27046925,2016
27048000,2016
27048745,2016
27048746,2016
27049675,2016
27050112,2016
27050856,2016
27052666,2017
27052792,2016
27052794,2016
27053037,2016
27053131,2016
27054688,2016
27054989,2016
27055196,2016
27055200,2016
27055374,2016
27055385,2016
27056096,2016
27056643,2016
27057874,2016
27058728,2016
27058990,2016
27060380,2016
27060381,2016
27060396,2016
27060565,2016
27060613,2016
27060691,2016
27063354,2016
27063652,2016
27063653,2016
27063794,2016
27064148,2016
27066299,2016
27066743,2016
27066744,2016
27066795,2016
27067096,2016
27067205,2016
27068488,2016
27069344,2016
27069825,2016
27070380,2016
27070735,2016
27070847,2016
27070912,2016
27071041,2016
27071531,2016
27072040,2017
27073228,2016
27074312,2016
27074330,2016
27074370,2016
27074377,2016
27075009,2016
27075309,2016
27076507,2016
27077095,2016
27078057,2016
27078190,2016
27078543,2016
27078587,2016
27079865,2016
27080092,2016
27081746,2016
27082204,2016
27083694,2016
27083981,2016
27087204,2016
27088194,2016
27088243,2016
27088298,2016
27088323,2016
27088494,2016
27088574,2016
27088817,2016
27088970,2016
27088990,2016
27089120,2016
27089202,2016
27089253,2016
27089758,2016
27089762,2016
27090089,2016
27090438,2016
27090801,2016
27091703,2016
27091724,2016
27092361,2016
27093158,2016
27093288,2016
27093766,2016
27093860,2016
27094497,2016
27096299,2016
27096300,2016
27096910,2016
27098947,2016
27099632,2016
27100826,2016
27100970,2016
27101541,2016
27102015,2016
27102780,2016
27102926,2017
27103126,2016
27103128,2016
27103718,2016
27104366,2016
27104968,2016
27104970,2016
27105225,2016
27105638,2016
27105655,2016
27105931,2016
27107300,2016
27111294,2016
27111356,2016
27111968,2016
27111981,2016
27113107,2016
27114968,2016
27115536,2016
27115737,2016
27115821,2016
27118425,2016
27118575,2016
27119012,2016
27119524,2016
27119589,2016
27119856,2016
27123558,2016
27124623,2016
27126052,2016
27128355,2016
27129450,2016
27129451,2016
27130436,2016
27130673,2016
27134728,2016
27134732,2016
27134823,2016
27135717,2016
27137695,2016
27138556,2016
27139219,2016
27139439,2016
27139440,2016
27140691,2016
27142055,2016
27143081,2016
27143174,2016
27143305,2016
27143490,2016
27144515,2016
27148186,2016
27149205,2016
27149521,2016
27149628,2016
27149896,2016
27150136,2016
27150274,2016
27150456,2016
27150532,2016
27150580,2016
27150736,2016
27150951,2016
27151137,2016
27151254,2016
27151369,2016
27152436,2016
27153063,2016
27154090,2016
27156023,2016
27156408,2016
27156435,2016
27156436,2016
27156484,2016
27156653,2016
27157106,2016
27158114,2016
27158449,2016
27158557,2016
27158761,2016
27160110,2016
27160350,2016
27160366,2016
27161480,2016
27162029,2016
27163257,2016
27163559,2016
27164708,2016
27165390,2016
27166755,2016
27167249,2016
27167537,2016
27167538,2016
27167975,2016
27168495,2016
27168917,2016
27170237,2016
27171034,2016
27171368,2016
27171533,2016
27171600,2016
27171972,2016
27172672,2016
27172823,2016
27172988,2016
27173701,2016
27173920,2016
27173929,2016
27174054,2016
27174274,2016
27174284,2016
27174386,2016
27174964,2016
27175508,2016
27175724,2016
27175927,2016
27177409,2017
27177718,2016
27179414,2016
27179424,2016
27179929,2016
27180225,2016
27180726,2016
27183312,2016
27184420,2016
27184421,2016
27184629,2016
27186984,2016
27187593,2016
27188344,2016
27188345,2016
27188346,2016
27191483,2016
27192024,2016
27192026,2016
27192031,2016
27193266,2016
27193639,2016
27193747,2016
27194600,2016
27196544,2016
27196545,2016
27197113,2016
27197311,2016
27197772,2016
27198478,2016
27198836,2016
27198837,2016
27198838,2016
27203101,2016
27203490,2016
27203498,2016
27203499,2016
27205899,2016
27207138,2016
27207189,2016
27207768,2016
27207862,2016
27208545,2016
27208632,2016
27208633,2016
27209175,2016
27209301,2016
27211476,2016
27211788,2016
27212079,2016
27212660,2016
27212842,2016
27214379,2016
27215946,2016
27216759,2016
27216764,2016
27217167,2016
27219081,2016
27220167,2016
27220937,2016
27221166,2016
27221543,2016
27222919,2016
27223135,2016
27223311,2016
27223315,2016
27224278,2016
27224471,2016
27225109,2016
27225243,2016
27226280,2016
27227971,2016
27228275,2016
27229696,2016
27230287,2016
27230852,2016
27231186,2016
27232461,2017
27232506,2016
27232529,2016
27232603,2016
27233282,2016
27234417,2016
27236271,2016
27236440,2016
27236614,2016
27236867,2016
27241952,2016
27242166,2016
27242327,2016
27244249,2016
27244952,2016
27247001,2016
27247243,2016
27247350,2016
27248295,2016
27249063,2016
27249094,2016
27249182,2016
27251981,2016
27253205,2016
27253365,2016
27253432,2016
27254248,2016
27254259,2016
27254835,2016
27255107,2016
27255410,2016
27255550,2016
27255682,2017
27255948,2016
27256555,2016
27256738,2016
27257232,2016
27257326,2016
27258065,2016
27260223,2016
27260568,2016
27260832,2016
27261195,2016
27261852,2016
27261865,2016
27262078,2016
27265325,2016
27265775,2017
27267799,2016
27268016,2016
27268504,2016
27268505,2016
27269900,2016
27270120,2016
27272118,2016
27272625,2016
27273075,2016
27273239,2016
27273325,2016
27274588,2016
27274849,2016
27278486,2016
27278855,2016
27279226,2016
27280061,2016
27280322,2016
27281566,2016
27281741,2016
27282424,2016
27282638,2016
27282681,2016
27282817,2016
27283140,2016
27283145,2016
27283801,2016
27283926,2017
27284020,2016
27285308,2017
27285427,2016
27286010,2016
27286563,2016
27287356,2016
27287830,2016
27287833,2016
27288540,2016
27289006,2016
27289428,2016
27290831,2016
27292005,2016
27293547,2016
27294787,2016
27295893,2016
27295904,2016
27296393,2015
27299167,2016
27299353,2016
27301356,2016
27303071,2016
27303663,2016
27303723,2016
27304097,2016
27305043,2016
27306056,2016
27306491,2016
27307213,2016
27309781,2016
27309791,2016
27311329,2016
27311388,2016
27311680,2016
27311776,2016
27312324,2016
27313200,2016
27314996,2016
27315005,2016
27316349,2016
27316385,2016
27316500,2016
27317419,2016
27317512,2016
27317825,2016
27318417,2016
27318605,2016
27319020,2016
27319025,2016
27321115,2016
27321961,2016
27321962,2016
27322491,2016
27322537,2016
27323483,2016
27323550,2016
27323600,2016
27323918,2016
27324390,2016
27326435,2016
27326944,2016
27327000,2016
27328974,2016
27329509,2016
27329551,2016
27330653,2016
27330849,2016
27331627,2016
27331661,2016
27332714,2016
27332734,2016
27332784,2016
27333025,2016
27333366,2016
27334910,2016
27335310,2016
27336445,2016
27336620,2016
27336950,2016
27336960,2016
27337368,2016
27337468,2016
27337505,2016
27338953,2016
27339099,2016
27339593,2016
27339887,2016
27339992,2016
27341420,2016
27341759,2016
27342126,2016
27343150,2016
27344138,2016
27344225,2016
27344400,2016
27344465,2016
27345865,2016
27347853,2016
27348136,2016
27350348,2016
27352279,2016
27352748,2016
27352749,2016
27352750,2016
27352763,2016
27353042,2016
27353759,2016
27353814,2016
27353815,2016
27353817,2016
27354440,2016
27354515,2016
27355409,2016
27355410,2016
27355411,2016
27355468,2016
27355570,2016
27356247,2016
27357348,2016
27358939,2016
27359297,2016
27359317,2016
27363326,2016
27364179,2016
27364784,2016
27364879,2016
27364935,2016
27365085,2016
27366020,2016
27366289,2016
27366585,2016
27366586,2016
27366587,2016
27366760,2016
27367003,2016
27367331,2016
27367466,2016
27368092,2016
27372395,2016
27372396,2016
27372398,2016
27372399,2016
27373766,2016
27377478,2016
27378033,2016
27378370,2016
27378764,2016
27378805,2016
27380423,2016
27381219,2016
27383459,2016
27383948,2016
27383962,2016
27383987,2016
27383988,2016
27384574,2016
27384803,2016
27384821,2016
27385228,2016
27386894,2016
27386922,2016
27387029,2016
27389584,2016
27389909,2016
27389971,2016
27389990,2016
27390166,2016
27390239,2016
27391568,2016
27392219,2016
27393087,2016
27393088,2016
27393105,2016
27393106,2016
27393681,2016
27397775,2016
27399257,2016
27399646,2016
27399828,2016
27399927,2016
27400066,2016
27400363,2016
27401144,2016
27401601,2016
27402518,2016
27403008,2016
27403405,2016
27404665,2016
27405738,2016
27411846,2016
27412023,2016
27412024,2016
27412681,2016
27412976,2016
27413190,2016
27414192,2016
27414496,2016
27416771,2016
27417493,2016
27417494,2016
27417495,2016
27417950,2016
27418575,2016
27418843,2016
27419175,2016
27419889,2016
27421544,2016
27421717,2017
27423039,2016
27423687,2016
27425793,2016
27426716,2016
27427201,2016
27427208,2016
27430951,2016
27431802,2017
27433842,2016
27434194,2016
27434361,2016
27435464,2016
27435517,2016
27435990,2016
27436433,2016
27436751,2016
27438084,2016
27438351,2016
27438661,2016
27439067,2016
27439088,2016
27441334,2016
27441778,2016
27442184,2016
27442327,2016
27443350,2016
27443522,2016
27444120,2016
27444419,2016
27447300,2016
27447397,2016
27448188,2016
27449601,2016
27452806,2016
27453325,2016
27454076,2016
27454521,2016
27454712,2016
27454745,2016
27455458,2016
27458114,2016
27459519,2016
27459560,2016
27459752,2016
27460685,2016
27460686,2016
27461305,2016
27462846,2016
27462882,2016
27463941,2016
27464346,2016
27464857,2016
27464886,2016
27466104,2016
27466468,2016
27466758,2016
27467271,2016
27467820,2016
27469112,2016
27469223,2016
27470244,2016
27471296,2016
27471954,2016
27472289,2016
27473528,2016
27473856,2016
27473981,2016
27474145,2016
27474488,2016
27475021,2016
27475895,2016
27475896,2016
27476019,2016
27476412,2016
27476595,2016
27477155,2016
27477156,2016
27477157,2016
27477452,2016
27477981,2016
27478378,2016
27478853,2016
27479173,2016
27479770,2016
27480043,2016
27480044,2016
27480321,2016
27481466,2016
27481629,2016
27482461,2016
27482554,2016
27482562,2016
27485738,2016
27485955,2017
27487767,2016
27487998,2016
27488825,2016
27489331,2016
27490087,2016
27490117,2016
27490307,2016
27490354,2016
27490430,2016
27490445,2016
27490661,2016
27491031,2016
27491635,2016
27491989,2016
27492074,2016
27492132,2016
27492477,2016
27493161,2016
27493252,2016
27494130,2016
27495006,2016
27495823,2016
27496713,2016
27496830,2016
27497951,2016
27500641,2016
27501302,2016
27503033,2016
27504617,2016
27504949,2016
27505002,2016
27507741,2016
27507747,2016
27508060,2016
27508088,2016
27508289,2016
27508290,2016
27509020,2016
27509655,2016
27509902,2016
27510169,2016
27510879,2016
27512066,2016
27512493,2016
27513625,2016
27515384,2016
27516635,2016
27517108,2016
27518688,2016
27521359,2016
27522921,2016
27524440,2016
27525286,2016
27526251,2016
27526490,2016
27526492,2016
27529422,2016
27532234,2016
27532277,2016
27532496,2016
27532497,2016
27532622,2016
27532747,2016
27532808,2016
27533717,2016
27535047,2016
27535512,2016
27538044,2016
27538321,2016
27538400,2016
27539802,2016
27540058,2016
27540152,2016
27540468,2016
27540984,2016
27541001,2016
27541191,2016
27541989,2016
27542120,2016
27542178,2016
27544075,2016
27544795,2016
27545046,2016
27545505,2016
27546187,2016
27546975,2016
27546976,2016
27547117,2016
27547128,2016
27548647,2016
27548930,2016
27549304,2016
27551005,2016
27551728,2016
27552392,2016
27552432,2016
27553173,2016
27553292,2016
27553402,2016
27554037,2016
27555094,2016
27555311,2016
27555815,2016
27555980,2016
27556383,2016
27556748,2016
27556838,2016
27557413,2017
27557815,2016
27558313,2016
27559830,2016
27560129,2016
27562089,2016
27562260,2016
27562269,2016
27564232,2016
27565347,2016
27566874,2016
27567120,2016
27567913,2016
27568284,2016
27569055,2017
27569879,2016
27570082,2016
27571349,2016
27572177,2016
27572275,2017
27572514,2017
27573074,2016
27573233,2016
27573577,2016
27573623,2016
27573961,2016
27578809,2016
27578819,2016
27579558,2016
27579616,2016
27580721,2016
27581052,2016
27581122,2016
27581255,2016
27581979,2016
27582188,2016
27582197,2016
27583097,2016
27583132,2016
27584546,2016
27584610,2016
27584813,2016
27584942,2016
27585037,2016
27585248,2016
27586510,2016
27587826,2016
27588363,2016
27588756,2016
27589583,2016
27589884,2017
27590716,2016
27590737,2017
27592842,2016
27593186,2017
27593350,2016
27593583,2016
27593584,2016
27593704,2016
27595140,2016
27596253,2016
27596376,2016
27596624,2016
27597462,2016
27598421,2016
27598870,2016
27599081,2016
27599407,2016
27599469,2016
27599470,2016
27599648,2016
27599795,2016
27600176,2017
27601223,2016
27601517,2016
27601533,2016
27601578,2016
27603093,2016
27603528,2016
27603576,2016
27604059,2016
27604081,2016
27604128,2016
27605056,2016
27605159,2016
27606053,2016
27607566,2016
27608262,2017
27609128,2016
27609862,2016
27609872,2016
27610070,2016
27610098,2016
27610587,2017
27611658,2017
27612155,2016
27612156,2016
27612157,2016
27612158,2016
27612415,2016
27613665,2016
27614319,2016
27615590,2016
27617166,2016
27617170,2016
27617189,2016
27617352,2016
27617437,2017
27617732,2016
27617787,2016
27617894,2016
27618294,2016
27618295,2016
27618573,2017
27618651,2016
27620510,2017
27621340,2016
27621342,2016
27622433,2016
27622492,2016
27623030,2016
27623452,2016
27623840,2016
27625288,2016
27626161,2016
27626374,2016
27627314,2016
27627457,2016
27627657,2016
27628851,2017
27629599,2016
27629942,2017
27630820,2016
27630846,2016
27631467,2016
27631604,2016
27632055,2016
27633273,2016
27633296,2016
27633330,2016
27633426,2016
27636525,2017
27637419,2016
27638290,2016
27639453,2016
27639850,2016
27640519,2016
27641566,2016
27641776,2016
27641777,2016
27643596,2016
27643685,2016
27644020,2016
27644171,2016
27645608,2016
27645783,2016
27645785,2016
27647195,2016
27647685,2017
27648063,2016
27650293,2017
27650447,2016
27650556,2016
27650823,2016
27651092,2016
27652985,2016
27653360,2016
27653589,2016
27653905,2016
27654889,2016
27654962,2016
27656170,2016
27656926,2016
27658737,2016
27659038,2016
27660733,2016
27662643,2017
27663284,2016
27664127,2016
27664930,2016
27665517,2017
27666816,2017
27668909,2016
27670692,2016
27671098,2017
27673286,2016
27673295,2016
27673296,2016
27673425,2017
27676336,2016
27676337,2016
27676340,2016
27676341,2016
27676342,2016
27676343,2016
27678028,2016
27679523,2016
27679623,2016
27679739,2016
27679755,2016
27681219,2016
27681334,2017
27681699,2016
27682031,2016
27682032,2016
27682065,2017
27682644,2016
27683027,2016
27683255,2016
27684046,2016
27684333,2016
27684526,2016
27684886,2016
27685812,2016
27686610,2016
27686742,2016
27687267,2016
27687478,2017
27687554,2016
27688094,2016
27688194,2016
27690112,2016
27690200,2016
27692070,2016
27692879,2016
27693104,2016
27693308,2016
27693357,2016
27693616,2016
27694072,2016
27694479,2017
27694629,2017
27694931,2016
27695847,2016
27695855,2016
27702593,2016
27702683,2016
27703544,2016
27704051,2016
27704772,2016
27704909,2017
27705077,2016
27705091,2016
27706105,2016
27706161,2016
27706382,2016
27707632,2017
27707728,2016
27708030,2016
27708058,2016
27708473,2016
27708476,2016
27711033,2016
27711041,2016
27712118,2016
27713505,2016
27714487,2016
27714789,2016
27716242,2016
27716392,2016
27716414,2016
27717314,2016
27717627,2016
27717945,2016
27719988,2016
27721110,2016
27723844,2016
27726416,2017
27729183,2016
27729201,2017
27729407,2016
27729507,2016
27729643,2016
27729840,2016
27730165,2016
27731495,2017
27731557,2016
27736642,2016
27737553,2016
27738033,2016
27741183,2016
27741537,2016
27742170,2017
27742355,2016
27743307,2017
27743310,2016
27743485,2017
27743683,2016
27743747,2016
27746763,2016
27746901,2016
27746903,2016
27747251,2016
27747912,2016
27748649,2017
27748650,2017
27748784,2016
27749669,2016
27751615,2016
27751616,2016
27751766,2016
27751882,2017
27752039,2016
27754830,2016
27755638,2016
27757256,2016
27757795,2016
27758685,2017
27759009,2016
27759344,2016
27759838,2016
27759862,2016
27763483,2016
27763656,2017
27763787,2017
27763793,2017
27763795,2017
27764076,2016
27764114,2016
27764115,2016
27765639,2016
27766638,2016
27767924,2016
27767931,2016
27768689,2016
27770704,2016
27770843,2016
27773535,2016
27773536,2016
27774987,2016
27775162,2017
27775637,2016
27776026,2016
27776548,2016
27776823,2017
27776956,2016
27779466,2017
27779781,2016
27780196,2016
27780969,2016
27781090,2016
27783679,2016
27783682,2016
27783802,2016
27784079,2016
27787288,2016
27787490,2016
27787521,2016
27788336,2017
27788396,2016
27788398,2016
27788975,2016
27789523,2016
27792777,2016
27793644,2016
27794382,2016
27794383,2016
27794731,2016
27795432,2017
27797853,2016
27798603,2016
27799296,2017
27800692,2017
27801647,2016
27801807,2016
27802398,2016
27802403,2016
27802406,2016
27802535,2016
27804004,2017
27805221,2016
27805547,2017
27806047,2016
27807228,2017
27807296,2016
27807657,2017
27808208,2016
27809220,2016
27809228,2016
27810502,2017
27811226,2016
27812357,2016
27812601,2016
27812645,2016
27812646,2016
27812648,2016
27812690,2017
27812710,2016
27814481,2016
27814732,2016
27815125,2017
27815145,2016
27815146,2016
27815235,2016
27815736,2017
27818091,2016
27819683,2016
27821513,2017
27821887,2016
27822207,2016
27822403,2016
27824100,2016
27824536,2016
27824828,2016
27825343,2016
27826073,2017
27827826,2017
27829439,2016
27829655,2016
27830429,2017
27831765,2016
27832051,2016
27832058,2016
27832129,2016
27832245,2016
27832267,2016
27832453,2016
27832715,2016
27832979,2017
27833670,2016
27834272,2016
27835759,2016
27835966,2016
27837933,2016
27838352,2017
27838728,2016
27842986,2017
27843157,2016
27843167,2016
27843766,2016
27845325,2016
27845968,2017
27846442,2016
27846847,2016
27848922,2016
27848978,2016
27849039,2016
27849599,2016
27852793,2016
27852856,2017
27853521,2016
27855041,2017
27855206,2016
27855636,2016
27855644,2016
27857129,2017
27858969,2016
27859375,2017
27860092,2017
27862008,2017
27862959,2017
27863275,2017
27864138,2017
27865425,2017
27866470,2016
27866593,2016
27866611,2016
27866627,2016
27866982,2017
27867910,2016
27868270,2017
27868318,2017
27869391,2016
27869394,2016
27869724,2016
27869959,2016
27869964,2016
27869981,2016
27869982,2016
27870688,2017
27870689,2017
